"Qty";"Value";"Device";"Package";"Parts";"Description";"TP_SIGNAL_NAME";
"1";"";"C-US";"C2413";"C2";"CAPACITOR, American symbol";"";
"1";"";"LTC3630";"MSE16(12)";"DA2";"";"";
"1";"";"RCL_C-USC0805";"RCL_C0805$1";"C20";"CAPACITOR, American symbol";"";
"6";"";"SOLDER_HOLE18AWG";"SOLDER_HOLE_18";"X1, X2, X3, X4, X5, X13";"";"";
"3";".1uF";"C-EUC0402";"C0402";"C23, C24, C25";"CAPACITOR, European symbol";"";
"1";"0.1uF";"C-USC0402";"C0402";"C22";"CAPACITOR, American symbol";"";
"1";"100E";"R-US_R0402";"R0402";"R17";"RESISTOR, American symbol";"";
"4";"10k";"R-US_R0402";"R0402";"R10, R11, R50, R51";"RESISTOR, American symbol";"";
"1";"14.3k";"RCL_R-US_R0402";"RCL_R0402";"R44";"RESISTOR, American symbol";"";
"1";"16MHz KX-7";"CRYSTAL-3.2-2.5";"CRYSTAL-3.2-2.5";"Y3";"";"";
"1";"1M";"R-US_R0402";"R0402";"R19";"RESISTOR, American symbol";"";
"1";"1k";"R-US_R0402";"R0402";"R1";"RESISTOR, American symbol";"";
"1";"2.2k";"R-US_R0402";"R0402";"R21";"RESISTOR, American symbol";"";
"1";"200k";"RCL_R-US_R0402";"RCL_R0402";"R43";"RESISTOR, American symbol";"";
"2";"22pF";"C-EUC0402";"C0402";"C1, C12";"CAPACITOR, European symbol";"";
"1";"22uH";"M-PAD-2.1_L_USD";"M-PAD-2.1_1210";"L1";"Inductors in various packages from:";"";
"1";"470k";"R-US_R0402";"R0402";"R9";"RESISTOR, American symbol";"";
"1";"BC817-40LT1SMD";"BC817-40LT1SMD";"SOT23-BEC";"Q1";"NPN Transistor";"";
"2";"BSC030P0303NS3G";"BSC030P0303NS3G";"PG-TDSON-8";"U$1, U$2";"";"";
"1";"MBR0520";"MBR0520";"SOD-123";"D3";"";"";
"1";"MEGA48/88/168-MU";"MEGA48/88/168-MU";"MLF32";"IC2";"";"";
"1";"SIR662DP";"SIR662DP";"POWERPAK_SO8";"VT1";"";"";
"4";"TPTP08R";"TPTP08R";"TP08R";"+5V, MISO, MOSI, SCK";"Test pad";"";
"1";"TPTP10R";"TPTP10R";"TP10R";"RST";"Test pad";"";
"1";"WSL12061L000FTA18";"R-US_R2512";"R2512";"R13";"RESISTOR, American symbol";"";
